,0,1,2,3,4,5,6,7
152,5,1447 Gullspång,5185,5307,5280,1.0235294117647058,0.994912379875636,1447
153,4,1452 Tranemo,11531,11776,11936,1.021247073107276,1.013586956521739,1452
154,5,1460 Bengtsfors,9550,9940,9750,1.0408376963350785,0.9808853118712274,1460
155,5,1461 Mellerud,8892,9323,9310,1.0484705353126407,0.9986055990560978,1461
156,9,1462 Lilla Edet,12829,13728,14109,1.0700756099462156,1.0277534965034965,1462
157,4,1463 Mark,33753,34218,34754,1.0137765531952716,1.0156642702671108,1463
158,5,1465 Svenljunga,10299,10679,10780,1.0368967860957374,1.0094578144020976,1465
159,5,1466 Herrljunga,9274,9486,9464,1.0228596075048524,0.9976807927472064,1466
160,4,1470 Vara,15609,15788,16024,1.0114677429688002,1.0149480618191031,1470
161,4,1471 Götene,13028,13275,13207,1.0189591648756524,0.9948775894538606,1471
162,4,1472 Tibro,10754,11070,11240,1.0293844151013576,1.015356820234869,1472
163,5,1473 Töreboda,8992,9435,9293,1.0492660142348755,0.9849496555378908,1473
164,6,1480 Göteborg,533271,556640,579281,1.0438219966958637,1.0406744035642426,1480
165,8,1481 Mölndal,61978,64465,69364,1.0401271418890574,1.0759947258202125,1481
166,8,1482 Kungälv,42109,43289,46336,1.0280225130019711,1.0703873963362518,1482
167,4,1484 Lysekil,14369,14570,14555,1.0139884473519383,0.9989704873026767,1484
