Region;2013;2014;2015;2016;2017;2018;2019;2020;2021;2022;2023
1473 Töreboda;8992;9072;9293;9435;9414;9312;9293;9281;9207;9186;9141
1480 Göteborg;533271;541145;548190;556640;564039;571868;579281;583056;587549;596841;604616
1481 Mölndal;61978;62927;63340;64465;66121;68152;69364;69901;69943;70109;70534
1482 Kungälv;42109;42334;42730;43289;44110;45086;46336;47050;48271;49068;49785
1484 Lysekil;14369;14299;14464;14570;14621;14611;14555;14366;14266;14170;13969
1485 Uddevalla;53025;53517;54180;55164;55763;56259;56703;56787;57122;57282;57045
1486 Strömstad;12480;12694;12854;13079;13218;13253;13218;13244;13277;13290;13476
1487 Vänersborg;37369;37890;38381;38955;39151;39411;39591;39624;39636;39904;40012
1488 Trollhättan;56573;56929;57092;57753;58238;58728;59058;59249;59154;59274;59073
1489 Alingsås;38619;39188;39602;40045;40390;41070;41420;41602;41853;42199;42382
1490 Borås;105995;107022;108488;109880;111026;112178;113179;113714;114091;114445;114592
1491 Ulricehamn;23211;23244;23494;23887;24296;24445;24668;24704;24898;25108;25087
1492 Åmål;12229;12326;12601;12801;12711;12720;12610;12441;12318;12216;12006
1493 Mariestad;23870;23921;24043;24215;24290;24372;24537;24513;24723;24768;24647
1494 Lidköping;38414;38761;39009;39235;39506;39879;40089;40328;40460;40457;40539
1495 Skara;18580;18747;18711;18979;18843;18829;18837;18695;18732;18755;18654
1496 Skövde;52859;53134;53555;54133;54975;55729;56366;56791;57016;57463;57763
1497 Hjo;8805;8885;8983;9048;9093;9176;9210;9229;9233;9243;9258
1498 Tidaholm;12565;12617;12669;12797;12827;12828;12846;12790;12825;12839;12839
1499 Falköping;31988;32185;32511;32806;33077;33155;33246;33238;33270;33252;32991
1715 Kil;11810;11885;11802;11800;11910;11962;12087;12115;12134;12115;12085
1730 Eda;8426;8453;8505;8526;8618;8575;8564;8550;8490;8535;8499
1737 Torsby;12013;11992;11910;12169;11890;11719;11616;11549;11472;11411;11387
1760 Storfors;4131;4106;4032;4046;4123;4055;4014;3990;3948;3882;3801
1761 Hammarö;15136;15256;15420;15725;16174;16483;16568;16668;16765;16820;16940
1762 Munkfors;3656;3656;3663;3738;3763;3789;3740;3725;3680;3701;3669
1763 Forshaga;11292;11379;11379;11451;11509;11518;11499;11524;11606;11578;11538
1764 Grums;8925;8958;8945;9063;9011;9016;9047;9043;9091;9105;9057
1765 Årjäng;9953;9804;9869;9958;9948;10011;10070;9996;9942;9914;9893
1766 Sunne;13011;13099;13208;13425;13331;13261;13306;13335;13355;13418;13366
1780 Karlstad;87786;88350;89245;90198;91120;92497;93898;94828;95408;96466;97233
1781 Kristinehamn;23949;24114;24270;24671;24650;24336;24255;24190;24099;24053;23817
1782 Filipstad;10563;10613;10625;10960;10783;10837;10644;10503;10403;10315;10034
1783 Hagfors;12071;11921;11824;11917;11782;11698;11606;11517;11553;11589;11536
1784 Arvika;25817;25771;25841;26054;26060;26082;26045;25932;25854;25832;25682
